Simulation Total Time;31055;;;;;;;;;
Total Number of Sensed Events by the WSN;989;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;989;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;;;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;142;427;142;0;142;28990.01;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1123;0;;;;;;
Simulation Total Time;30007;;;;;;;;;
Total Number of Sensed Events by the WSN;1000;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;1000;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;410;550;1519;550;1;140;29.977.686;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;963;1109;2101;1109;0;146;26.960.784;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;1008;1151;2117;1151;1;143;28.403.891.333;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;436;578;1587;578;1;142;28.976.606;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;264;410;1229;410;0;146;26.982.792;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;279;428;2162;428;1;149;25.476.756;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;279;430;2240;430;1;151;24476.24;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;286;436;1280;436;0;150;24.981.862;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;133;275;825;275;1;142;28988.45;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;134;282;1091;282;0;148;25.986.686;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;123;279;1052;279;0;156;21.986.998;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;133;286;839;286;0;153;23.488.108;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;140;419;140;0;140;29.994.126;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;144;564;144;1;144;27993.16;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;149;559;149;0;149;25493.07;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;148;435;148;1;148;25.993.838;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1162;0;;;;;;
Simulation Total Time;31713;;;;;;;;;
Total Number of Sensed Events by the WSN;976;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;976;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;417;557;1540;557;1;140;29.977.392;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;979;1123;2035;1123;0;144;27.960.838;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;908;1056;2007;1056;1;148;25.956.204.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;384;528;1440;528;1;144;27.954.896;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;269;417;1238;417;1;148;25.982.564;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;281;430;2198;430;0;149;25.476.498;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;268;415;2121;415;0;147;26477.32;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;250;393;1194;393;0;143;28.435.136.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;118;269;808;269;0;151;24.488.702;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;130;281;1091;281;0;151;24486.71;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;138;283;1075;283;1;145;27.486.758;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;131;269;807;269;1;138;30.904.900.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;140;412;140;0;140;29.994.168;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;143;560;143;0;143;28.493.214;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;142;550;142;1;142;28.993.292;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;137;411;137;1;137;31.421.415.333;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1185;0;;;;;;
Simulation Total Time;30002;;;;;;;;;
Total Number of Sensed Events by the WSN;982;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;982;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;420;565;1525;565;1;145;27477.29;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;961;1105;2069;1105;1;144;27.961.066;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;961;1108;2050;1108;1;147;26.458.369.333;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;403;548;1511;548;0;145;27.477.782;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;274;420;1234;420;0;146;26.982.516;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;244;396;2057;396;1;152;23.978.154;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;267;419;2058;419;1;152;23.977.596;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;257;403;1224;403;0;146;26.982.984;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;128;274;818;274;0;146;26.988.516;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;121;270;1061;270;1;149;25.487.154;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;141;289;1080;289;0;148;25921.53;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;133;275;825;275;1;142;28988.45;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;141;416;141;1;141;29494.12;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;142;557;142;0;142;28.968.416.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;146;543;146;1;146;26.993.238;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;140;421;140;1;140;29.928.704.667;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1117;0;;;;;;
Simulation Total Time;31553;;;;;;;;;
Total Number of Sensed Events by the WSN;996;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;996;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;435;576;1586;576;1;141;29476.66;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;1005;1151;2121;1151;0;146;26.929.218.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;969;1115;2120;1115;0;146;26960.52;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;401;548;1513;548;0;147;26.475.923.333;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;287;435;1280;435;0;148;25.981.886;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;294;439;2301;439;1;145;27.475.658;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;275;421;2230;421;1;146;26.976.516;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;252;401;1211;401;0;149;25.483.116;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;147;292;876;292;0;145;27.487.736;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;147;294;1147;294;1;147;26.486.062;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;125;275;1062;275;0;150;24.987.034;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;120;266;796;266;1;146;26988.84;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;147;436;147;0;147;26.493.856;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;147;569;147;0;147;26.493.058;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;140;550;140;0;140;29.993.346;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;137;406;137;1;137;31.494.276;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1193;0;;;;;;
Simulation Total Time;30683;;;;;;;;;
Total Number of Sensed Events by the WSN;927;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;927;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;424;571;1488;571;1;147;26.440.456;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;911;1064;1919;1064;0;153;23.462.956;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;910;1058;1975;1058;0;148;25.946.254.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;419;558;1477;558;1;139;30.477.746;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;284;430;1264;430;0;146;26.924.032;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;253;409;2008;409;0;156;21.978.142;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;249;402;2028;402;0;153;23.478.184;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;275;419;1224;419;0;144;27.982.606;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;138;284;845;284;1;146;26.988.114;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;127;277;1064;277;1;150;24.986.968;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;119;268;1057;268;1;149;25.487.226;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;132;275;819;275;0;143;28.488.486;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;143;427;143;1;143;28.494.006;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;143;549;143;0;143;28.493.274;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;139;550;139;0;139;30.493.364;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;139;414;139;0;139;30494.18;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1153;0;;;;;;
Simulation Total Time;29501;;;;;;;;;
Total Number of Sensed Events by the WSN;982;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;982;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;424;567;1539;567;1;143;28.224.386;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;967;1115;2095;1115;0;148;25960.67;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;980;1128;2096;1128;0;148;25.954.119.333;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;414;559;1542;559;1;145;27.477.332;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;280;424;1280;424;1;144;27.982.144;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;287;434;2236;434;0;147;26.476.174;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;280;431;2180;431;0;151;24.476.582;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;266;414;1248;414;1;148;25.982.576;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;136;280;847;280;1;144;27.988.198;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;137;287;1099;287;1;150;24.986.518;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;145;294;1126;294;1;149;25.486.188;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;124;271;832;271;0;147;26.488.504;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;141;427;141;0;141;29.494.054;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;147;561;147;1;147;26.493.106;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;148;559;148;0;148;25.993.094;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;141;419;141;1;141;29.494.102;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1126;0;;;;;;
Simulation Total Time;30595;;;;;;;;;
Total Number of Sensed Events by the WSN;1009;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;1009;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;428;567;1551;567;1;139;30.477.086;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;982;1123;2120;1123;1;141;29.460.328;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;992;1138;2077;1138;0;146;26.960.232;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;433;577;1571;577;1;144;27.880.908.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;288;428;1275;428;1;140;29.982.078;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;272;420;2151;420;0;148;25977.02;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;270;420;2165;420;1;150;24976.93;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;287;433;1280;433;0;146;26.981.928;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;142;288;839;288;0;146;26988.06;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;141;286;1142;286;0;145;27.397.428;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;146;293;1129;293;1;147;26.486.194;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;141;287;867;287;0;146;26987.91;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;145;429;145;1;145;27.470.648.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;143;577;143;1;143;28.493.106;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;146;571;146;0;146;26993.07;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;144;433;144;0;144;27.993.946;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1134;0;;;;;;
Simulation Total Time;29535;;;;;;;;;
Total Number of Sensed Events by the WSN;994;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;994;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;439;580;1591;580;0;141;29.146.844.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;1007;1152;2133;1152;1;145;27.437.851.333;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;980;1126;2130;1126;1;146;26.924.732;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;411;553;1537;553;0;142;28.977.506;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;293;439;1299;439;0;146;26981.67;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;290;439;2263;439;0;149;25.475.295.333;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;283;432;2247;432;1;149;25476.15;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;260;411;1230;411;0;151;24.482.762;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;147;293;876;293;0;146;26.987.712;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;140;290;1134;290;0;150;24.986.242;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;132;283;1110;283;0;151;24.486.554;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;125;274;820;274;0;149;25488.51;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;147;439;147;0;147;26.493.844;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;148;580;148;0;148;25.992.968;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;146;564;146;0;146;26.993.112;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;141;420;141;1;141;28.963.365.333;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1128;0;;;;;;
Simulation Total Time;31321;;;;;;;;;
Total Number of Sensed Events by the WSN;999;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;999;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;413;556;1511;556;1;143;28477.59;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;951;1098;2045;1098;0;147;26.458.461.333;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;994;1135;2093;1135;0;141;29.436.069.333;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;432;570;1567;570;1;138;30.976.918;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;263;413;1205;413;0;150;24.982.858;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;248;401;2090;401;0;153;23.476.612;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;280;430;2124;430;1;150;24.976.936;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;288;432;1275;432;0;144;27.981.988;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;144;289;825;289;0;145;27.488.114;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;119;268;1070;268;0;149;25.487.154;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;129;280;1079;280;1;151;24.486.806;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;142;288;851;288;0;146;26.987.988;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;144;424;144;0;144;27994;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;139;557;139;1;139;30.493.322;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;145;554;145;1;145;27.493.196;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;144;433;144;0;144;27.993.946;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1170;0;;;;;;
Simulation Total Time;31545;;;;;;;;;
Total Number of Sensed Events by the WSN;1012;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;1012;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;411;551;1503;551;1;140;29.977.758;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;947;1092;2087;1092;0;145;27.322.425.333;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;991;1139;2035;1139;0;148;25960.46;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;421;570;1560;570;0;149;25476.96;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;264;411;1192;411;0;147;26482.99;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;259;404;2183;404;1;145;27.473.068.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;272;421;2203;421;0;149;25.476.684;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;271;421;1255;421;0;150;24.982.122;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;136;280;817;280;1;144;27.988.378;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;130;273;1103;273;0;143;28.410.278.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;144;288;1125;288;0;144;27.986.338;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;145;290;854;290;0;145;27.487.916;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;142;411;142;1;142;28.860.708.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;137;559;137;1;137;31.493.358;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;144;562;144;0;144;27.993.172;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;145;434;145;0;145;27.493.916;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1188;0;;;;;;
Simulation Total Time;31554;;;;;;;;;
Total Number of Sensed Events by the WSN;962;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;962;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;413;553;1507;553;1;140;29.977.686;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;948;1094;2062;1094;0;146;26.929.792.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;965;1113;2036;1113;0;148;25.961.072;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;396;540;1509;540;1;144;27.954.662;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;270;413;1241;413;1;143;28.482.642;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;273;422;2146;422;0;149;25.476.996;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;291;440;2222;440;1;149;25.476.108;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;247;396;1212;396;0;149;25.483.224;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;126;270;816;270;0;144;27.988.624;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;131;279;1094;279;0;148;25985.58;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;142;291;1102;291;1;149;25.486.404;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;112;259;800;259;0;147;26.436.996.667;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;139;412;139;1;139;30.494.192;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;142;556;142;1;142;28.993.256;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;0;146;540;146;0;146;26.993.262;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;0;137;405;137;1;137;31.058.760.667;
Events;;;;;;;;;;
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed;;;;;;
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1176;0;;;;;;
Simulation Total Time;30800;;;;;;;;;
Total Number of Sensed Events by the WSN;1020;;;;;;;;;
Number of Sensed Events by the WSN per Day;;;;;;;;;;
1;1020;;;;;;;;;
Nodes;;;;;;;;;;
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;435;575;1573;575;1;140;29.843.587.333;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;995;1138;2124;1138;0;143;28.307.983.333;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;988;1129;2126;1129;1;141;29.460.148;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;413;556;1541;556;0;143;28477.41;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;293;435;1293;435;1;142;28.981.802;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;280;427;2248;427;0;147;26.476.264;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;286;432;2245;432;0;146;26.976.162;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;264;413;1226;413;0;149;25.482.738;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;146;293;848;293;1;147;26487.88;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;127;280;1069;280;1;153;23.486.866;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;139;286;1125;286;0;147;26.486.386;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;144;287;843;287;0;143;28.488.054;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;0;146;436;146;0;146;26.993.886;
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;0;145;571;145;1;145;27.493.094;
