Simulation Total Time;16885832
Total Number of Sensed Events by the WSN;222846
Number of Sensed Events by the WSN per Day
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node85;0;1870;8137;31135;8319;8137;1;6449;5477202,307893
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node86;0;1798;8052;31282;8244;8052;0;6446;5552785,643989
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node87;0;1776;8221;31402;8221;8221;1;6445;5580992,021492
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node88;0;1797;8248;27092;8248;8248;0;6451;5479285,282282
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node89;0;1092;7311;22076;7396;7311;0;6304;9623367,611221
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node90;0;0;3606;14689;6302;3606;0;6302;16741241,429045
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node91;0;0;3657;18338;6432;3657;0;6432;9725391,227848
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node92;0;0;3700;21085;6430;3700;0;6430;9834061,227548
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node93;0;0;3547;21038;6434;3547;0;6434;9883548,36177
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node94;0;0;3548;21065;6437;3548;1;6437;9839959,454453
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node95;0;0;3691;21068;6435;3691;0;6435;9718230,081877
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node96;0;0;3673;21097;6432;3673;0;6432;9852033,936949
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node97;0;0;3667;21085;6431;3667;0;6431;9915069,3608
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node98;0;0;3635;18375;6432;3635;0;6432;9934733,188213
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node99;0;0;3582;13828;6288;3582;1;6288;16885832,87345
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;635123;0
