Simulation Total Time;22973052
Total Number of Sensed Events by the WSN;259878
Number of Sensed Events by the WSN per Day
1;40558
2;40551
3;40620
4;40662
5;40540
6;20212
7;11913
8;11858
9;11295
10;1669
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node86;0;2135;8698;33346;8875;8698;1;6740;506769,010196
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node87;0;1810;8551;32725;8551;8551;0;6741;462464,742453
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node88;0;1903;8602;28548;8644;8602;1;6741;468363,482894
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node89;0;1166;7784;23389;7908;7784;0;6742;825767,500737
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node90;0;0;3932;15644;6744;3932;0;6744;1525003,034012
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node91;0;0;4072;19498;6741;4072;0;6741;855316,754215
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node92;0;0;3783;22029;6741;3783;1;6741;847621,656472
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node93;0;0;3812;21903;6741;3812;0;6741;810690,962386
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node94;0;0;4266;22518;6741;4266;1;6741;908344,937234
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node95;0;0;4065;22244;6741;4065;1;6741;872094,148103
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node96;0;0;4127;22357;6741;4127;0;6741;902397,319654
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node97;0;0;3821;21831;6741;3821;0;6741;809790,793563
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node98;0;0;3827;19201;6741;3827;1;6741;832054,527009
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node99;0;0;3782;14649;6743;3782;1;6743;1573503,579998
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;10786810;0
Simulation Total Time;24076046
Total Number of Sensed Events by the WSN;261603
Number of Sensed Events by the WSN per Day
1;40575
2;40615
3;40678
4;40695
5;40515
6;19501
7;11809
8;11782
9;11884
10;3549
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node0;0;37858;41400;114974;44555;41400;0;6697;1557802,339147
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node1;0;69199;75860;182710;75861;75860;0;6662;808973,14249
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node2;0;104103;110723;254706;110723;110723;1;6620;817838,926008
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node3;0;141377;147962;141377;147962;147962;1;6585;817225,010565
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node4;0;180510;187161;180510;0;0;1;6651;817346,380372
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node5;0;162108;168755;162108;0;0;1;6647;800204,845901
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node6;0;123159;129760;123159;129760;129760;0;6601;798973,733658
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node7;0;86679;92633;223034;93313;92633;1;6634;834649,382946
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node8;0;55811;62435;154892;62484;62435;0;6673;843814,583355
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node9;0;26460;30319;92014;33165;30319;1;6705;1588394,734271
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node10;0;32407;39113;107049;39113;39113;0;6706;814952,257292
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node11;0;23946;30651;136386;30651;30651;0;6705;458240,18077
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node12;0;24181;30883;199896;30883;30883;1;6702;467595,938802
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node13;0;23954;30654;239086;30654;30654;1;6700;463844,748291
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node14;0;25849;32548;90528;32548;32548;1;6699;459512,562487
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node15;0;25647;32348;89904;32348;32348;0;6701;447289,028555
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node16;0;23823;30526;195158;30526;30526;0;6703;450989,563786
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node17;0;24134;30839;160682;30839;30839;0;6705;457876,599284
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node18;0;24553;31260;150893;31260;31260;1;6707;474785,169139
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node19;0;22819;29530;90917;29530;29530;1;6711;815552,431301
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node20;0;28165;34738;97331;34876;34738;0;6711;830999,578845
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node21;0;21056;27725;102775;27769;27725;0;6713;459146,279641
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node22;0;21156;27868;110978;27868;27868;1;6712;460396,981702
