Simulation Total Time;29049071
Total Number of Sensed Events by the WSN;259965
Number of Sensed Events by the WSN per Day
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node51;0;11512;18091;67686;18236;18091;0;6724;5916361,889528
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node52;0;11604;18328;73050;18328;18328;1;6724;5817588,896667
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node53;0;11328;18053;71803;18053;18053;0;6725;5640953,644027
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node54;0;11485;18206;72906;18209;18206;0;6724;6050896,372065
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node55;0;11715;18349;73233;18439;18349;0;6724;6125126,983677
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node56;0;11402;17943;72213;18126;17943;0;6724;5717325,047833
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node57;0;11459;17789;72225;18183;17789;0;6724;5744441,250061
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node58;0;11321;17997;62274;18046;17997;0;6725;5850432,323076
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node59;0;10678;17404;52991;17404;17404;0;6726;10674119,084031
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node60;0;10676;17408;49799;17408;17408;0;6732;10169515,499724
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node61;0;8312;15041;61992;15041;15041;0;6729;5815028,046446
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node62;0;8426;15154;60295;15154;15154;1;6728;5817878,565315
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node63;0;8320;14886;59892;15048;14886;0;6728;5744442,000872
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node64;0;8279;15007;60383;15007;15007;0;6728;6188142,872669
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node65;0;8719;15327;60561;15447;15327;0;6728;6293740,079432
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node66;0;8208;14886;60107;14936;14886;0;6728;5819369,801521
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node67;0;8476;14993;59903;15204;14993;0;6728;6037294,201629
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node68;0;8109;14839;51123;14839;14839;0;6730;5680179,108904
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node69;0;7642;14331;43428;14372;14331;0;6730;10819768,943207
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node70;0;6424;13035;37990;13161;13035;0;6737;10364377,869431
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node71;0;5023;11756;48674;11756;11756;1;6733;5815597,060802
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node72;0;5145;11878;47416;11878;11878;0;6733;5816893,206748
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node73;0;5089;11808;47280;11822;11808;0;6733;5765265,582987
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node74;0;5015;11747;47304;11748;11747;0;6733;5839890,670193
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node75;0;5559;12179;47987;12291;12179;0;6732;6471229,035542
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node76;0;5048;11774;47246;11781;11774;0;6733;5832729,91444
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node77;0;5365;11945;47720;12097;11945;0;6732;6282365,438485
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node78;0;5098;11688;40951;11831;11688;1;6733;5879765,433082
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node79;0;4590;11185;34412;11324;11185;0;6734;11232096,785234
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node80;0;2321;8826;25794;9063;8826;0;6742;11043861,642734
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node81;0;1853;8594;29305;8594;8594;0;6741;5737157,430788
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node82;0;2103;8685;33209;8843;8685;1;6740;6066895,960377
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node83;0;1999;8659;33227;8739;8659;0;6740;5948184,607851
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node84;0;1927;8597;33123;8667;8597;0;6740;5963529,060285
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node85;0;2359;9011;34013;9099;9011;0;6740;6628257,288419
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node86;0;1935;8608;33106;8675;8608;0;6740;5981380,548333
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node87;0;2236;8904;33574;8976;8904;0;6740;6415601,170222
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node88;0;1883;8624;28624;8624;8624;0;6741;5824404,333508
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node89;0;1516;8209;24099;8257;8209;0;6741;11358599,387957
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node90;0;0;4039;15803;6743;4039;0;6743;20846466,091592
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node91;0;0;3729;19346;6740;3729;0;6740;10956554,785232
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node92;0;0;3998;22324;6741;3998;1;6741;10421944,902635
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node93;0;0;3984;22221;6741;3984;0;6741;10295324,432003
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node94;0;0;3979;22080;6741;3979;1;6741;10061594,936497
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node95;0;0;4380;22580;6741;4380;1;6741;11268759,706052
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node96;0;0;3955;22157;6740;3955;1;6740;11196447,920923
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node97;0;0;4178;22456;6741;4178;1;6741;11020503,487806
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node98;0;0;3855;19321;6740;3855;0;6740;10799117,066406
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node99;0;0;4151;14997;6743;4151;1;6743;19049637,86541
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;1093633;0
Simulation Total Time;33154348
Total Number of Sensed Events by the WSN;260735
Number of Sensed Events by the WSN per Day
1;3292
2;3293
3;3252
4;3258
5;3252
6;3263
7;3257
8;3259
9;3286
10;3248
11;3240
12;3311
13;3238
14;3256
15;3222
16;3262
17;3238
18;3260
19;3224
20;3309
21;3216
22;3280
23;3195
24;3224
25;3250
26;3277
27;3293
28;3253
29;3282
30;3272
31;3261
32;3244
33;3269
34;3208
35;3285
36;3228
37;3229
38;3286
39;3305
40;3313
41;3258
42;3268
43;3176
44;3249
45;3243
