Simulation Total Time;23889784
Total Number of Sensed Events by the WSN;439
Number of Sensed Events by the WSN per Day
1;439
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node88;0;5;14;55;14;14;1;9;14969,407657
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node89;0;4;13;44;13;13;1;9;25142,752934
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node90;0;0;9;26;9;9;0;9;43015,604751
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node91;0;0;9;34;9;9;0;9;18209,446549
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node92;0;0;9;32;9;9;1;9;14132,748254
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node93;0;0;9;32;9;9;0;9;6357,329149
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node94;0;0;9;33;9;9;1;9;20056,302623
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node95;0;0;9;32;9;9;0;9;10890,989163
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node96;0;0;9;30;9;9;1;9;12834,84352
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node97;0;0;9;33;9;9;1;9;13173,81632
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node98;0;0;9;32;9;9;0;9;15003,684709
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node99;0;0;9;22;9;9;1;9;25163,935231
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;899365;0
